Fichero,ValorACS,TiempoACS,MejorValor
att48.tsp,10628,.033016367,10628
berlin52.tsp,7542,.057109137,7542
ch130.tsp,6110,.149213622,6110
ch150.tsp,6528,.100527395,6528
d198.tsp,15780,3.190223701,15780
eil101.tsp,629,.150693619,629
eil51.tsp,426,.028226319,426
eil76.tsp,538,.059564495,538
kroA100.tsp,21282,.055059835,21282
kroA200.tsp,29368,.743016115,29368
pr76.tsp,108159,.043585966,108159
st70.tsp,675,.035731746,675
